Performance Statistics   2019-07-11 18:36:00 - 2019-07-11 18:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
utilitylibrary_Status.browse#init                        2,0           2           2         0,0           1
utilitylibrary_Status.browse#inject                      2,0           2           2         0,0           1
utilitylibrary_Status.browse#load                     1310,0        1310        1310         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         5,0           5           5         0,0           1
utilitylibrary_Status.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Status.edit#init                          2,0           2           2         0,0           1
utilitylibrary_Status.edit#inject                       13,0          13          13         0,0           1
utilitylibrary_Status.edit#load                        591,0         591         591         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           4,0           4           4         0,0           1

Performance Statistics   2019-07-11 21:12:00 - 2019-07-11 21:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Status.browse                 1491,0        1491        1491         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     316,0         316         316         0,0           1
loginWindow#init                                        33,0          33          33         0,0           1
loginWindow#inject                                      84,0          84          84         0,0           1
loginWindow#load                                       933,0         933         933         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         14,0           1          27        13,0           2
mainWindow#afterShow                                     7,0           7           7         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       17,0          17          17         0,0           1
mainWindow#init                                         40,0          40          40         0,0           1
mainWindow#inject                                       18,0          18          18         0,0           1
mainWindow#load                                        490,0         490         490         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           3,5           0           7         3,5           2
utilitylibrary_Status.browse#afterShow                   8,0           8           8         0,0           1
utilitylibrary_Status.browse#beforeShow                 42,0          42          42         0,0           1
utilitylibrary_Status.browse#create                     17,0          17          17         0,0           1
utilitylibrary_Status.browse#init                        2,0           2           2         0,0           1
utilitylibrary_Status.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Status.browse#load                     1183,0        1183        1183         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         4,0           4           4         0,0           1
utilitylibrary_Status.edit#create                        1,0           1           1         0,0           1
utilitylibrary_Status.edit#init                          3,0           3           3         0,0           1
utilitylibrary_Status.edit#inject                       16,0          16          16         0,0           1
utilitylibrary_Status.edit#load                        729,0         729         729         0,0           1
utilitylibrary_Status.edit#uiPermissions                 0,0           0           0         0,0           1
utilitylibrary_Status.edit#xml                           5,0           5           5         0,0           1

Performance Statistics   2019-07-11 21:14:00 - 2019-07-11 21:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.utilitylibrary_Status.browse                 1554,0        1554        1554         0,0           1
loginWindow#afterShow                                    0,0           0           0         0,0           1
loginWindow#beforeShow                                   0,0           0           0         0,0           1
loginWindow#create                                     290,0         290         290         0,0           1
loginWindow#init                                        31,0          31          31         0,0           1
loginWindow#inject                                      74,0          74          74         0,0           1
loginWindow#load                                       835,0         835         835         0,0           1
loginWindow#uiPermissions                                0,0           0           0         0,0           1
loginWindow#xml                                         15,0           0          30        15,0           2
mainWindow#afterShow                                     5,0           5           5         0,0           1
mainWindow#beforeShow                                    0,0           0           0         0,0           1
mainWindow#create                                       16,0          16          16         0,0           1
mainWindow#init                                         33,0          33          33         0,0           1
mainWindow#inject                                       18,0          18          18         0,0           1
mainWindow#load                                        415,0         415         415         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                           2,0           0           4         2,0           2
utilitylibrary_Status.browse#afterShow                   7,0           7           7         0,0           1
utilitylibrary_Status.browse#beforeShow                 25,0          25          25         0,0           1
utilitylibrary_Status.browse#create                     29,0          29          29         0,0           1
utilitylibrary_Status.browse#init                        2,0           2           2         0,0           1
utilitylibrary_Status.browse#inject                      1,0           1           1         0,0           1
utilitylibrary_Status.browse#load                     1320,0        1320        1320         0,0           1
utilitylibrary_Status.browse#uiPermissions               0,0           0           0         0,0           1
utilitylibrary_Status.browse#xml                         8,0           8           8         0,0           1
